FD5, 361.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$5, 227.75, 8.90, 30.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$500, 68.00, 51.01, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$501, 64.14, 44.35, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$502, 60.30, 37.67, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$503, 56.45, 31.03, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$504, 42.37, 28.14, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$505, 60.68, 17.07, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$506, 52.62, 24.37, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$507, 51.52, 22.55, 30.00, 0603-1U-CAP, 0603
U$508, 48.68, 17.68, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$509, 67.81, 77.76, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$528, 67.81, 91.28, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$529, 60.12, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$530, 52.43, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$531, 40.16, 102.79, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$532, 31.11, 111.70, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$533, 40.04, 79.84, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$534, 40.69, 91.27, 90.00, 0603-1U-CAP, 0603
U$535, 31.14, 70.86, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$536, 44.74, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$537, 37.04, 91.29, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$538, 29.34, 91.28, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
