U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1343, 250.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1345, 250.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1346, 250.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1347, 241.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1349, 241.29, 52.10, 0.00, 3512-LED, 3512-LED
U$135, 118.09, 16.10, 0.00, 3512-LED, 3512-LED
U$1350, 241.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1351, 232.50, 47.40, 180.00, 0603-1U-CAP, 0603
U$1352, 232.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1354, 232.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1355, 232.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1356, 223.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1358, 223.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1359, 223.71, 45.90, 180.00, 3512-LED, 3512-LED
U$136, 118.11, 9.90, 180.00, 3512-LED, 3512-LED
U$1360, 214.90, 47.40, 180.00, 0603-1U-CAP, 0603
U$1361, 214.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1363, 214.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1364, 214.91, 45.90, 180.00, 3512-LED, 3512-LED
U$1365, 206.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1367, 206.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1368, 206.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1369, 197.30, 47.40, 180.00, 0603-1U-CAP, 0603
U$137, 109.30, 11.40, 180.00, 0603-1U-CAP, 0603
U$1370, 197.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1372, 197.29, 52.10, 0.00, 3512-LED, 3512-LED
U$1373, 197.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1374, 188.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1376, 188.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1377, 188.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1378, 179.70, 47.40, 180.00, 0603-1U-CAP, 0603
U$1379, 179.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$138, 109.30, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1381, 179.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1382, 179.71, 45.90, 180.00, 3512-LED, 3512-LED
