U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$2426, 47.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2427, 47.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2428, 38.90, 74.40, 180.00, 0603-1U-CAP, 0603
U$2429, 38.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2431, 38.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2432, 38.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2433, 30.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2435, 30.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2436, 30.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2437, 21.30, 74.40, 180.00, 0603-1U-CAP, 0603
U$2438, 21.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2440, 21.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2441, 21.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2442, 12.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2444, 12.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2445, 12.51, 72.90, 180.00, 3512-LED, 3512-LED
U$26, 302.89, 16.10, 0.00, 3512-LED, 3512-LED
U$2609, 327.22, 85.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$2610, 320.50, 83.40, 180.00, 0603-1U-CAP, 0603
U$2611, 320.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2613, 320.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2614, 320.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2615, 311.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2617, 311.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2618, 311.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2619, 302.90, 83.40, 180.00, 0603-1U-CAP, 0603
U$2620, 302.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2622, 302.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2623, 302.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2624, 294.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2626, 294.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2627, 294.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2628, 285.30, 83.40, 180.00, 0603-1U-CAP, 0603
U$2629, 285.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2631, 285.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2632, 285.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2633, 276.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2635, 276.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2636, 276.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2637, 267.70, 83.40, 180.00, 0603-1U-CAP, 0603
U$2638, 267.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2640, 267.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2641, 267.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2642, 258.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2644, 258.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2645, 258.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2646, 250.10, 83.40, 180.00, 0603-1U-CAP, 0603
U$2647, 250.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2649, 250.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2650, 250.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2651, 241.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2653, 241.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2654, 241.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2655, 232.50, 83.40, 180.00, 0603-1U-CAP, 0603
U$2656, 232.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2658, 232.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2659, 232.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2660, 223.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2662, 223.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2663, 223.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2664, 214.90, 83.40, 180.00, 0603-1U-CAP, 0603
U$2665, 214.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2667, 214.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2668, 214.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2669, 206.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2671, 206.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2672, 206.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2673, 197.30, 83.40, 180.00, 0603-1U-CAP, 0603
U$2674, 197.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2676, 197.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2677, 197.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2678, 188.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2680, 188.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2681, 188.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2682, 179.70, 83.40, 180.00, 0603-1U-CAP, 0603
U$2683, 179.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2685, 179.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2686, 179.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2687, 170.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2689, 170.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2690, 170.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2691, 162.10, 83.40, 180.00, 0603-1U-CAP, 0603
U$2692, 162.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2694, 162.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2695, 162.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2696, 153.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2698, 153.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2699, 153.31, 81.90, 180.00, 3512-LED, 3512-LED
U$27, 302.91, 9.90, 180.00, 3512-LED, 3512-LED
U$2700, 144.50, 83.40, 180.00, 0603-1U-CAP, 0603
U$2701, 144.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2703, 144.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2704, 144.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2705, 135.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2707, 135.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2708, 135.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2709, 126.90, 83.40, 180.00, 0603-1U-CAP, 0603
U$2710, 126.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2712, 126.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2713, 126.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2714, 118.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2716, 118.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2717, 118.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2718, 109.30, 83.40, 180.00, 0603-1U-CAP, 0603
U$2719, 109.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2721, 109.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2722, 109.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2723, 100.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2725, 100.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2726, 100.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2727, 91.70, 83.40, 180.00, 0603-1U-CAP, 0603
U$2728, 91.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2730, 91.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2731, 91.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2732, 82.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2734, 82.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2735, 82.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2736, 74.10, 83.40, 180.00, 0603-1U-CAP, 0603
U$2737, 74.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2739, 74.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2740, 74.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2741, 65.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2743, 65.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2744, 65.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2745, 56.50, 83.40, 180.00, 0603-1U-CAP, 0603
U$2746, 56.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2748, 56.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2749, 56.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2750, 47.70, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2752, 47.69, 88.10, 0.00, 3512-LED, 3512-LED
U$2753, 47.71, 81.90, 180.00, 3512-LED, 3512-LED
U$2754, 38.90, 83.40, 180.00, 0603-1U-CAP, 0603
U$2755, 38.90, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2757, 38.89, 88.10, 0.00, 3512-LED, 3512-LED
U$2758, 38.91, 81.90, 180.00, 3512-LED, 3512-LED
U$2759, 30.10, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2761, 30.09, 88.10, 0.00, 3512-LED, 3512-LED
U$2762, 30.11, 81.90, 180.00, 3512-LED, 3512-LED
U$2763, 21.30, 83.40, 180.00, 0603-1U-CAP, 0603
U$2764, 21.30, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2766, 21.29, 88.10, 0.00, 3512-LED, 3512-LED
U$2767, 21.31, 81.90, 180.00, 3512-LED, 3512-LED
U$2768, 12.50, 85.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2770, 12.49, 88.10, 0.00, 3512-LED, 3512-LED
U$2771, 12.51, 81.90, 180.00, 3512-LED, 3512-LED
U$2935, 327.22, 94.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$2936, 320.50, 92.40, 180.00, 0603-1U-CAP, 0603
U$2937, 320.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2939, 320.49, 97.10, 0.00, 3512-LED, 3512-LED
U$2940, 320.51, 90.90, 180.00, 3512-LED, 3512-LED
U$2941, 311.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2943, 311.69, 97.10, 0.00, 3512-LED, 3512-LED
U$2944, 311.71, 90.90, 180.00, 3512-LED, 3512-LED
U$2945, 302.90, 92.40, 180.00, 0603-1U-CAP, 0603
U$2946, 302.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2948, 302.89, 97.10, 0.00, 3512-LED, 3512-LED
U$2949, 302.91, 90.90, 180.00, 3512-LED, 3512-LED
U$2950, 294.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2952, 294.09, 97.10, 0.00, 3512-LED, 3512-LED
U$2953, 294.11, 90.90, 180.00, 3512-LED, 3512-LED
U$2954, 285.30, 92.40, 180.00, 0603-1U-CAP, 0603
U$2955, 285.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2957, 285.29, 97.10, 0.00, 3512-LED, 3512-LED
U$2958, 285.31, 90.90, 180.00, 3512-LED, 3512-LED
U$2959, 276.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2961, 276.49, 97.10, 0.00, 3512-LED, 3512-LED
U$2962, 276.51, 90.90, 180.00, 3512-LED, 3512-LED
U$2963, 267.70, 92.40, 180.00, 0603-1U-CAP, 0603
U$2964, 267.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2966, 267.69, 97.10, 0.00, 3512-LED, 3512-LED
U$2967, 267.71, 90.90, 180.00, 3512-LED, 3512-LED
U$2968, 258.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2970, 258.89, 97.10, 0.00, 3512-LED, 3512-LED
U$2971, 258.91, 90.90, 180.00, 3512-LED, 3512-LED
U$2972, 250.10, 92.40, 180.00, 0603-1U-CAP, 0603
U$2973, 250.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2975, 250.09, 97.10, 0.00, 3512-LED, 3512-LED
U$2976, 250.11, 90.90, 180.00, 3512-LED, 3512-LED
U$2977, 241.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2979, 241.29, 97.10, 0.00, 3512-LED, 3512-LED
U$2980, 241.31, 90.90, 180.00, 3512-LED, 3512-LED
U$2981, 232.50, 92.40, 180.00, 0603-1U-CAP, 0603
U$2982, 232.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2984, 232.49, 97.10, 0.00, 3512-LED, 3512-LED
U$2985, 232.51, 90.90, 180.00, 3512-LED, 3512-LED
U$2986, 223.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2988, 223.69, 97.10, 0.00, 3512-LED, 3512-LED
U$2989, 223.71, 90.90, 180.00, 3512-LED, 3512-LED
U$2990, 214.90, 92.40, 180.00, 0603-1U-CAP, 0603
U$2991, 214.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2993, 214.89, 97.10, 0.00, 3512-LED, 3512-LED
U$2994, 214.91, 90.90, 180.00, 3512-LED, 3512-LED
U$2995, 206.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2997, 206.09, 97.10, 0.00, 3512-LED, 3512-LED
U$2998, 206.11, 90.90, 180.00, 3512-LED, 3512-LED
U$2999, 197.30, 92.40, 180.00, 0603-1U-CAP, 0603
U$3, 320.50, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3000, 197.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3002, 197.29, 97.10, 0.00, 3512-LED, 3512-LED
U$3003, 197.31, 90.90, 180.00, 3512-LED, 3512-LED
U$3004, 188.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3006, 188.49, 97.10, 0.00, 3512-LED, 3512-LED
U$3007, 188.51, 90.90, 180.00, 3512-LED, 3512-LED
U$3008, 179.70, 92.40, 180.00, 0603-1U-CAP, 0603
U$3009, 179.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3011, 179.69, 97.10, 0.00, 3512-LED, 3512-LED
U$3012, 179.71, 90.90, 180.00, 3512-LED, 3512-LED
U$3013, 170.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3015, 170.89, 97.10, 0.00, 3512-LED, 3512-LED
U$3016, 170.91, 90.90, 180.00, 3512-LED, 3512-LED
U$3017, 162.10, 92.40, 180.00, 0603-1U-CAP, 0603
U$3018, 162.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3020, 162.09, 97.10, 0.00, 3512-LED, 3512-LED
U$3021, 162.11, 90.90, 180.00, 3512-LED, 3512-LED
U$3022, 153.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3024, 153.29, 97.10, 0.00, 3512-LED, 3512-LED
U$3025, 153.31, 90.90, 180.00, 3512-LED, 3512-LED
U$3026, 144.50, 92.40, 180.00, 0603-1U-CAP, 0603
U$3027, 144.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3029, 144.49, 97.10, 0.00, 3512-LED, 3512-LED
U$3030, 144.51, 90.90, 180.00, 3512-LED, 3512-LED
U$3031, 135.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3033, 135.69, 97.10, 0.00, 3512-LED, 3512-LED
U$3034, 135.71, 90.90, 180.00, 3512-LED, 3512-LED
U$3035, 126.90, 92.40, 180.00, 0603-1U-CAP, 0603
U$3036, 126.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3038, 126.89, 97.10, 0.00, 3512-LED, 3512-LED
U$3039, 126.91, 90.90, 180.00, 3512-LED, 3512-LED
U$3040, 118.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3042, 118.09, 97.10, 0.00, 3512-LED, 3512-LED
U$3043, 118.11, 90.90, 180.00, 3512-LED, 3512-LED
U$3044, 109.30, 92.40, 180.00, 0603-1U-CAP, 0603
U$3045, 109.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3047, 109.29, 97.10, 0.00, 3512-LED, 3512-LED
U$3048, 109.31, 90.90, 180.00, 3512-LED, 3512-LED
U$3049, 100.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3051, 100.49, 97.10, 0.00, 3512-LED, 3512-LED
U$3052, 100.51, 90.90, 180.00, 3512-LED, 3512-LED
U$3053, 91.70, 92.40, 180.00, 0603-1U-CAP, 0603
U$3054, 91.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3056, 91.69, 97.10, 0.00, 3512-LED, 3512-LED
U$3057, 91.71, 90.90, 180.00, 3512-LED, 3512-LED
U$3058, 82.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3060, 82.89, 97.10, 0.00, 3512-LED, 3512-LED
U$3061, 82.91, 90.90, 180.00, 3512-LED, 3512-LED
U$3062, 74.10, 92.40, 180.00, 0603-1U-CAP, 0603
U$3063, 74.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3065, 74.09, 97.10, 0.00, 3512-LED, 3512-LED
U$3066, 74.11, 90.90, 180.00, 3512-LED, 3512-LED
U$3067, 65.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3069, 65.29, 97.10, 0.00, 3512-LED, 3512-LED
U$3070, 65.31, 90.90, 180.00, 3512-LED, 3512-LED
U$3071, 56.50, 92.40, 180.00, 0603-1U-CAP, 0603
U$3072, 56.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3074, 56.49, 97.10, 0.00, 3512-LED, 3512-LED
U$3075, 56.51, 90.90, 180.00, 3512-LED, 3512-LED
U$3076, 47.70, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3078, 47.69, 97.10, 0.00, 3512-LED, 3512-LED
U$3079, 47.71, 90.90, 180.00, 3512-LED, 3512-LED
U$3080, 38.90, 92.40, 180.00, 0603-1U-CAP, 0603
U$3081, 38.90, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3083, 38.89, 97.10, 0.00, 3512-LED, 3512-LED
U$3084, 38.91, 90.90, 180.00, 3512-LED, 3512-LED
U$3085, 30.10, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3087, 30.09, 97.10, 0.00, 3512-LED, 3512-LED
U$3088, 30.11, 90.90, 180.00, 3512-LED, 3512-LED
U$3089, 21.30, 92.40, 180.00, 0603-1U-CAP, 0603
U$3090, 21.30, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3092, 21.29, 97.10, 0.00, 3512-LED, 3512-LED
U$3093, 21.31, 90.90, 180.00, 3512-LED, 3512-LED
U$3094, 12.50, 94.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3096, 12.49, 97.10, 0.00, 3512-LED, 3512-LED
U$3097, 12.51, 90.90, 180.00, 3512-LED, 3512-LED
U$3261, 327.22, 103.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$3262, 320.50, 101.40, 180.00, 0603-1U-CAP, 0603
U$3263, 320.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3265, 320.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3266, 320.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3267, 311.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3269, 311.69, 106.10, 0.00, 3512-LED, 3512-LED
U$327, 327.22, 22.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$3270, 311.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3271, 302.90, 101.40, 180.00, 0603-1U-CAP, 0603
U$3272, 302.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3274, 302.89, 106.10, 0.00, 3512-LED, 3512-LED
U$3275, 302.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3276, 294.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3278, 294.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3279, 294.11, 99.90, 180.00, 3512-LED, 3512-LED
U$328, 320.50, 20.40, 180.00, 0603-1U-CAP, 0603
U$3280, 285.30, 101.40, 180.00, 0603-1U-CAP, 0603
U$3281, 285.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3283, 285.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3284, 285.31, 99.90, 180.00, 3512-LED, 3512-LED
U$3285, 276.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3287, 276.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3288, 276.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3289, 267.70, 101.40, 180.00, 0603-1U-CAP, 0603
U$329, 320.50, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3290, 267.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3292, 267.69, 106.10, 0.00, 3512-LED, 3512-LED
U$3293, 267.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3294, 258.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3296, 258.89, 106.10, 0.00, 3512-LED, 3512-LED
U$3297, 258.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3298, 250.10, 101.40, 180.00, 0603-1U-CAP, 0603
U$3299, 250.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3301, 250.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3302, 250.11, 99.90, 180.00, 3512-LED, 3512-LED
U$3303, 241.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3305, 241.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3306, 241.31, 99.90, 180.00, 3512-LED, 3512-LED
U$3307, 232.50, 101.40, 180.00, 0603-1U-CAP, 0603
U$3308, 232.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$331, 320.49, 25.10, 0.00, 3512-LED, 3512-LED
U$3310, 232.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3311, 232.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3312, 223.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3314, 223.69, 106.10, 0.00, 3512-LED, 3512-LED
U$3315, 223.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3316, 214.90, 101.40, 180.00, 0603-1U-CAP, 0603
U$3317, 214.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3319, 214.89, 106.10, 0.00, 3512-LED, 3512-LED
U$332, 320.51, 18.90, 180.00, 3512-LED, 3512-LED
U$3320, 214.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3321, 206.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3323, 206.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3324, 206.11, 99.90, 180.00, 3512-LED, 3512-LED
U$3325, 197.30, 101.40, 180.00, 0603-1U-CAP, 0603
U$3326, 197.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3328, 197.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3329, 197.31, 99.90, 180.00, 3512-LED, 3512-LED
U$333, 311.70, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3330, 188.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3332, 188.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3333, 188.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3334, 179.70, 101.40, 180.00, 0603-1U-CAP, 0603
U$3335, 179.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3337, 179.69, 106.10, 0.00, 3512-LED, 3512-LED
U$3338, 179.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3339, 170.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3341, 170.89, 106.10, 0.00, 3512-LED, 3512-LED
