FD5, 360.68, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$190, 81.29, 93.05, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$191, 89.27, 90.27, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$192, 97.26, 88.16, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$193, 82.86, 101.37, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$194, 85.48, 95.47, 300.00, 0603-1U-CAP, 0603
U$195, 85.05, 109.36, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$196, 88.11, 96.99, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$197, 94.93, 100.93, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$198, 101.73, 104.85, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$199, 109.20, 101.77, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2, 60.84, 73.35, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$200, 117.21, 99.68, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$201, 102.78, 112.88, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$202, 104.98, 120.86, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$203, 106.11, 107.38, 300.00, 0603-1U-CAP, 0603
U$204, 108.55, 108.79, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$205, 115.37, 112.73, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$224, 67.68, 77.30, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$225, 74.50, 73.36, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$226, 81.29, 69.44, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$227, 82.87, 61.14, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$228, 85.04, 53.17, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
