FD1, 4.45, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$208, 81.29, 93.05, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$209, 89.27, 90.27, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$210, 97.26, 88.16, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$211, 82.86, 101.37, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$212, 70.98, 87.10, 240.00, 0603-1U-CAP, 0603
U$213, 85.05, 109.36, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$214, 88.11, 96.99, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$215, 94.93, 100.93, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$216, 101.73, 104.85, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$217, 109.20, 101.77, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$218, 117.21, 99.68, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$219, 102.78, 112.88, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$220, 104.98, 120.86, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$221, 91.41, 98.89, 240.00, 0603-1U-CAP, 0603
U$222, 108.55, 108.79, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$223, 115.37, 112.73, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$242, 67.68, 77.30, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$243, 74.50, 73.36, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$244, 81.29, 69.44, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$245, 82.87, 61.14, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$246, 85.04, 53.17, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$247, 89.28, 72.25, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$248, 70.98, 75.39, 300.00, 0603-1U-CAP, 0603
U$249, 97.29, 74.34, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$250, 88.11, 65.50, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$251, 94.93, 61.56, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$252, 101.73, 57.64, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$253, 102.80, 49.63, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$254, 104.99, 41.65, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$255, 109.21, 60.74, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$256, 117.22, 62.83, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$257, 91.41, 63.60, 300.00, 0603-1U-CAP, 0603
U$258, 108.55, 53.70, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$259, 115.37, 49.76, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$437, 182.51, 10.28, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$457, 182.51, 73.35, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$458, 182.51, 65.48, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$459, 182.51, 57.63, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$460, 176.11, 52.12, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$461, 170.29, 46.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$462, 188.94, 52.12, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$463, 182.51, 69.54, 0.00, 0603-1U-CAP, 0603
U$464, 194.75, 46.22, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$465, 182.51, 49.75, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$466, 182.51, 41.88, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$467, 182.51, 34.03, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$468, 176.11, 29.10, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$469, 170.29, 23.21, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$470, 188.94, 29.10, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$471, 194.75, 23.21, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$472, 182.51, 45.95, 0.00, 0603-1U-CAP, 0603
U$473, 182.51, 26.16, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$474, 182.51, 18.28, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$493, 175.67, 77.30, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$494, 168.86, 73.36, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$495, 162.06, 69.44, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$496, 154.08, 72.22, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$497, 146.09, 74.33, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$498, 160.50, 61.12, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$499, 172.38, 75.39, 60.00, 0603-1U-CAP, 0603
U$500, 158.30, 53.13, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$501, 155.24, 65.50, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$502, 148.42, 61.56, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$503, 141.62, 57.64, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$504, 134.15, 60.72, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$505, 126.14, 62.81, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$506, 140.57, 49.61, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$507, 138.37, 41.63, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$508, 151.94, 63.60, 60.00, 0603-1U-CAP, 0603
U$509, 134.80, 53.70, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$510, 127.98, 49.76, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$529, 175.67, 85.19, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$530, 168.86, 89.13, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$531, 162.06, 93.05, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$532, 160.49, 101.35, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$533, 158.31, 109.32, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$534, 154.07, 90.24, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$535, 172.38, 87.10, 120.00, 0603-1U-CAP, 0603
U$536, 146.06, 88.15, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$537, 155.24, 96.99, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$538, 148.42, 100.93, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$539, 141.62, 104.85, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$540, 140.56, 112.86, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$541, 138.36, 120.84, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$542, 134.14, 101.75, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$543, 126.13, 99.66, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$544, 151.94, 98.89, 120.00, 0603-1U-CAP, 0603
U$545, 134.80, 108.79, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$546, 127.98, 112.73, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$565, 182.51, 89.14, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$566, 182.51, 97.01, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$567, 182.51, 104.86, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$568, 188.91, 110.37, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$569, 194.73, 116.24, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$570, 176.08, 110.37, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$571, 182.51, 92.95, 180.00, 0603-1U-CAP, 0603
U$572, 170.27, 116.27, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$573, 182.51, 112.74, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$574, 182.51, 120.61, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$575, 182.51, 128.46, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$576, 188.91, 133.39, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$577, 194.73, 139.28, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$578, 176.08, 133.39, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$579, 170.27, 139.28, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$580, 182.51, 116.54, 180.00, 0603-1U-CAP, 0603
U$581, 182.51, 136.33, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
