C2A1, 23.63, 97.40, 90.00, 22u, 0603
U$6, 57.25, 127.75, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$60, 94.86, 75.80, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$61, 81.73, 73.56, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$62, 69.50, 71.38, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$63, 57.28, 69.20, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$64, 65.35, 78.69, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$65, 71.11, 34.66, 150.00, 0603-1U-CAP, 0603
U$66, 73.21, 88.30, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$67, 88.73, 65.19, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$68, 82.61, 54.58, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$69, 76.36, 43.75, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$7, 69.50, 125.50, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$70, 61.49, 40.50, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$71, 46.16, 36.94, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$72, 80.98, 29.25, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$73, 85.56, 14.19, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$75, 69.48, 31.85, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$76, 62.61, 19.94, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$8, 34.25, 98.50, 90.00, 0603-1U-CAP, 0603
U$9, 81.75, 123.50, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$92, 90.36, 68.00, 150.00, 0603-1U-CAP, 0603
