C1, 1.10, -59.16, 180.00, 22u, 0603
U$204, 47.71, 27.54, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$205, 54.53, 31.48, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$224, 6.84, -3.95, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$225, 13.66, -7.88, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$226, 20.45, -11.81, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$227, 22.03, -20.11, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$228, 24.20, -28.08, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$229, 28.44, -9.00, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$230, 24.63, -14.22, 240.00, 0603-1U-CAP, 0603
U$231, 36.45, -6.91, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$232, 27.27, -15.75, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$233, 34.09, -19.68, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$234, 40.89, -23.61, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$235, 41.95, -31.61, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$236, 44.15, -39.60, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$237, 48.37, -20.51, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$238, 56.38, -18.41, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$239, 45.27, -26.14, 240.00, 0603-1U-CAP, 0603
U$24, -0.00, -70.98, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$240, 47.71, -27.54, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$241, 54.53, -31.48, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$26, 0.50, -61.95, 90.00, DC-REG-12V-5V-MPM3630GQV-Z, DC-REG-12V-5V-MPM3630GQV-Z
U$3, 0.00, -15.77, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4, 0.00, -23.62, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$442, 121.67, -7.89, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$443, 121.67, -15.77, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$444, 121.67, -23.62, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
