C1, 1.10, -59.16, 180.00, 22u, 0603
U$66, -36.42, -6.92, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$67, -22.01, -20.13, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$68, -24.63, -14.22, 120.00, 0603-1U-CAP, 0603
U$69, -24.21, -28.11, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$7, 6.43, -29.13, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$70, -27.27, -15.75, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$71, -34.09, -19.68, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$72, -40.89, -23.61, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$73, -48.36, -20.53, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$74, -56.37, -18.44, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$75, -41.94, -31.64, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$76, -44.14, -39.62, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$77, -45.27, -26.14, 120.00, 0603-1U-CAP, 0603
U$78, -47.71, -27.54, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$79, -54.53, -31.48, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$8, 0.00, -28.44, 180.00, 0603-1U-CAP, 0603
U$882, 243.34, -7.89, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$883, 243.34, -15.77, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$884, 243.34, -23.62, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$885, 236.93, -29.13, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$886, 231.12, -35.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$887, 249.76, -29.13, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$888, 243.34, -28.44, 180.00, 0603-1U-CAP, 0603
U$889, 255.58, -35.02, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$890, 243.34, -31.49, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$891, 243.34, -39.36, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$892, 243.34, -47.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$893, 236.93, -52.14, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$894, 231.12, -58.03, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$895, 249.76, -52.14, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$896, 255.58, -58.03, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$897, 243.34, -52.27, 180.00, 0603-1U-CAP, 0603
U$898, 243.34, -55.09, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$9, 12.24, -35.02, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$916, 243.34, -70.98, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$918, 243.84, -61.95, 90.00, DC-REG-12V-5V-MPM3630GQV-Z, DC-REG-12V-5V-MPM3630GQV-Z
U$921, 236.50, -3.95, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$922, 229.68, -7.88, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$923, 222.88, -11.81, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$924, 214.91, -9.02, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$925, 206.92, -6.92, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$926, 221.32, -20.13, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$927, 218.70, -14.22, 120.00, 0603-1U-CAP, 0603
U$928, 219.13, -28.11, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$929, 216.06, -15.75, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$930, 209.25, -19.68, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$931, 202.45, -23.61, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$932, 194.98, -20.53, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$933, 186.97, -18.44, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$934, 201.39, -31.64, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$935, 199.20, -39.62, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$936, 198.07, -26.14, 120.00, 0603-1U-CAP, 0603
U$937, 195.63, -27.54, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$938, 188.81, -31.48, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$957, 236.50, 3.95, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$958, 229.68, 7.88, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$959, 222.88, 11.81, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$960, 221.31, 20.11, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$961, 219.14, 28.08, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$962, 214.90, 9.00, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$963, 218.70, 14.22, 60.00, 0603-1U-CAP, 0603
U$964, 206.89, 6.91, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$965, 216.06, 15.75, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$966, 209.25, 19.68, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$967, 202.45, 23.61, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$968, 201.38, 31.61, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$969, 199.19, 39.60, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$970, 194.97, 20.51, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$971, 186.96, 18.41, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$972, 198.07, 26.14, 60.00, 0603-1U-CAP, 0603
U$973, 195.63, 27.54, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$974, 188.81, 31.48, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$98, -6.84, 3.95, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$99, -13.66, 7.88, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$993, 243.34, 7.89, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$994, 243.34, 15.77, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$995, 243.34, 23.62, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$996, 249.74, 29.13, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$997, 255.55, 35.00, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$998, 236.91, 29.13, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$999, 243.34, 28.44, 0.00, 0603-1U-CAP, 0603
